	type	scheme	stanza	pair_number	order_in_pair
20	stanza	ABAAB	" suste over skyer av bølger sprang 
 og dets glans er månen hvit og rundet 
 jeg vandret jeg mellom slang 
 i folkerang 
 vik fra landet "	0	1
0	orig	AABB	"i elva var hver dråpe vann
inntørket under solens brann
og luften ruget lummer kvalm
på de fortaptes benkehalm"	0	2
1	orig	AABCCB	"formanet og sagt at kun skinn og bedrag
er alle deres guder til denne dag
og bedt dere dvrke kun gud den ene
den levende gud som himmel og jord
oghavet og alt har skapt ved sitt ord
ham som vi alle skal elske og tjene"	1	0
18	line	AABCBC	" først var han kan hende ved myken å få 
 og rense kokonger de små 
 så hun til sist de skjulte spor 
 livets sæd i hedningjord 
 så falt hans ord 
 det finnes mange fler i andre byer her på jord "	1	1
2	orig	ABAB	"størst av alt seg selv å øde
som et ensomt frø i muld
så av ny og gyllen grøde
verden kan bli rik og full"	2	0
16	line	ABAAB	" hvor finnes her det sære kogleri 
 han kaller til kamp sin skumle hær 
 men der er håp en slekt på ski 
 til reisen er forbi 
 som kommer og når vi som er så kjær så kjær "	2	1
3	orig	AABB	"en lidende frelser gådenes gåde
grufull og mørk som ingen kan råde
og dog å min gud i skriftenes ord
finnes kanhende det ledende spor"	3	0
15	line	ABAAB	" den steg oasegrønn av ørkensand 
 som de bebor 
 i dypet huldras fiskevann 
 tend i opprør folk og land 
 der sang det utrolige fred på jord "	3	1
4	orig	AABCCB	"den drømmer kanhende om alvor og dyst
som daglig den kjempet om denne vår kyst
for livet for æren og føden
snart synker den ære før ble den da brukt
nå hviler den mest i den sandkvite bukt
og luter sin stavn imot døden"	4	0
19	line	AABCBC	" falt hans ord som til vinger 
 falt hans ord som til vinger 
 for folket nå er gift og mord 
 når jordens riker synker og forgår 
 for meg hun ofrede alt på jord 
 den som har lengtet i tyve år "	4	1
21	stanza	ABAAB	" dog mens natten er full av fred 
 dette stumme de sterke gror 
 den store hav som en blomst i bre 
 her er det fram av guds fred i hvilken fred 
 sneen hvilket er sen visshet ord "	5	1
5	orig	ABAB	"men jeg står forundret og ser imot sør
hvor kvwistranden ligger i le
og kjenner at der er der noe som dør
noe glemt som jeg ikke får med"	5	2
26	base	-	" men det var som en drøm 
 det første vinden suste og sang 
 flyter og sus og duft at skjønne dal 
 han bodde der i de bitre vår 
 det siste var det som vi vet 
 
 "	6	1
6	orig	AABCCB	"så går østavinden
med et sukk igjennom linden
og mot vesten vandrer skyen blidt
og min lengsel følger
til de fjerne bølger
der min barndom gynget seg så titt"	6	2
7	orig	ABCDEFE	"skrevet det står
ei mennesket lever
av brød alene
men fra guds munn
går ut den føde
som atter i sjelen
lar livet gløde"	7	0
17	line	AABCBC	" og her var gaten trist og grå 
 sin jubel opp mot himlens blå 
 et overjordisk vingesus 
 er seirens englebud 
 lylte det lave fattige hus 
 hvem er at ved israels gud "	7	1
25	base	-	" våre fedre på karmel med ett 
 vet du dog alltid stod jeg rede 
 til alle de så hans ord 
 etter ham som hans ord 
 alle skal skue i hans hjertes grunn 
 skal nå ei det øde verdens kroner 
 som et ord over land 
 
 "	8	1
8	orig	AABB	"se iyset formes som en due
et syn som øyne knapt kan skue
som fra de høye himles fred
seg senker over jesus ned"	8	2
24	stanza	AABCBC	" dype dyp min vei er krystall 
 hvem skal til verdens skam og fall 
 se da vilde smykke 
 og løven temtes til en puddelhund 
 for kirke og gjentok det grønnes rikt og ikke 
 og skjermet veksler buldrer hever frossen blåst bunn "	9	1
9	orig	ABCB	"for åndens øye funkler
i nattens mørke favn
som solens purpurflammer
hans store mesters navn"	9	2
29	base	-	" hvem brenner en vei er saken klar 
 hans ånd over den brede 
 forøvrig finner folket og vek 
 men det var så tung han hård 
 mot byens spir de å feile 
 
 "	10	1
10	orig	AAA	"men i deres hjerter en stor og høytidelig ild
og i deres øyne et gjenskjær et skinnende spill
så bruser en kampsang begeistret og vill"	10	2
23	stanza	AABCBC	" i norges skinnende gnist 
 rede når dets enkle enfoldige trøst 
 det demrer av tåket luft og sand 
 i fredens slags blomster når man er på vann 
 hvor vadestedets stener i fjord og land 
 mens sjøene evigt slør land "	11	1
11	orig	AABCCDBD	"i lyshavets glans en fremmed stråler
hvis skjønnhet rabbinerens øyne ei tåler
han hører et spørsmål myndig men mildt
saul saul hvorfor forfølger du meg
forfølger aldri forfulgte jeg deg
da gripes saul av en hemmelig gru
han roper i angst bevende vilt
hellige engel hvem hvem er du"	11	2
12	orig	AABCCD	"men sadduseerne som nekter
oppstandelse og ånd forfekter
med kraft hans død de måler krefter
for gatens hop det høye råd
i raseri og skjendig dåd
i sannhet ei gir meget etter"	12	0
27	base	-	" jeg er død som en byrde i mørket lyser 
 og dere som er så stor en hær 
 under larm skal fylle sitt lyse løv 
 all verdens mektige brus mot himlen 
 
 "	12	1
13	orig	ABAB	"for henne selv ble livet nu
en natt hvor ingen stjerner tindret
en langsom kval en håpløs gru
som ei den minste lysning lindret"	13	0
28	base	-	" ti falt ei het og vill 
 av byens siste natt var full 
 og dog tiden nesten er spent 
 så kveg og går itu 
 
 "	13	1
14	orig	AABB	"å nå forstår jeg det var ham
jeg drømte om det var dog skam
at ikke straks jeg bad ham inn
ånei ånei hvor jeg var blind"	14	0
22	stanza	AABCBC	" se sitt forgylte embedsskrud 
 går han som forut bud 
 og langs havet i kjøkken og i kammers og i kott 
 liten her hist stakkars kristiansand 
 så ror i godt 
 mens sjøene evigt slør land "	14	1
