word_a	word_b	rhyme
bol	stol	1
granittregioner	fortoner	1
duften	luften	1
veg	snei	1
menneskemunn	munn	1
seierskrans	guddomsglans	1
vred	lever	1
kirke	birke	1
kongeskrud	gud	1
marmortrinn	sinn	1
behager	tager	1
bølgesprut	nut	1
pålandsvind	sinn	1
odelsgrunn	ørkenbunn	1
kry	gny	1
fjern	Bern	1
forlatt	betatt	1
fornøyet	drøye	1
brannen	hannen	1
roret	orde	1
nordenvind	skinn	1
fot	forlot	1
klang	tang	1
født	dødt	1
fly	aveny	1
lokk	fiende-flokk	1
din	søndenvind	1
rager	kulelager	1
kirkeveg	grei	1
evighetsordet	frokostbordet	1
erstatte	skatte	1
skatt	vinter-natt	1
lin	skinn	1
aftenvei	grei	1
sang	jubelklang	1
hatt	stat	1
inn	vin	1
nøden	brøden	1
grant	hjerter	1
trang	forårssang	1
stammer	hammer	1
innesperre	Vårherre	1
gledesgny	morgengry	1
ber	ler	1
spyd	rullestenslyd	1
snei	jordbærhei	1
temme	fornemme	1
gjorde	bordet	1
hyener	mener	1
lue	tue	1
skremme	gremme	1
helligånd	ordensbånd	1
fanger	slanger	1
piner	ruiner	1
sut	sønderskutt	1
åpenbart	standart	1
suser	huser	1
tuft	tåkeluft	1
rognebærtreet	kneet	1
kjempe-sang	fuglesang	1
øvet	bedrøvet	1
gikk	musikk	1
sette	spredte	1
satte	skratte	1
fiolin	måneskinn	1
mild	fløytespill	1
forsvinner	spinner	1
kanin	ditinn	1
dregg	måkeegg	1
staven	Graven	1
gått	smått	1
rullesten	ben	1
ild	harpespill	1
massen	Blomsterterrassen	1
sommerkveld	pastell	1
sal	kanal	1
ennu	hu	1
vin	ditinn	1
jage	plage	1
bør	glør	1
trenger	henger	1
alfarveg	sanger-vei	1
fullende	svenne	1
takt	prakt	1
merk	plankeverk	1
det	le	1
lo	blod	1
klippehanget	tanget	1
temme	nemme	1
fuglekiv	siv	1
att	skatt	1
min	trinn	1
fuglesang	jubelklang	1
ritt	mareritt	1
skare	fanfare	1
soldat	prat	1
trall	stall	1
hæler	bestjele	1
Ingeborg	kongeborg	1
skjule	fugle	1
skall	hall	1
ild	il	1
enser	C.-sentenser	1
gjetning	retning	1
klart	rart	1
venn	enn	1
naturen	sturen	1
midnattsstund	tanke-grunn	1
alvorsfullt	Storekult	1
sommernatt	lat	1
lunger	unger	1
pinsedagen	skarlagen	1
vått	smått	1
dans	brudekrans	1
overalt	salt	1
fonn	høvdingånd	1
hermelin	pålandsvind	1
troen	broen	1
prat	soldat	1
hvilested	fjed	1
seierskrans	blomsterkrans	1
spør	tørr	1
lønner	sønner	1
tager	kulelager	1
eventyrhekk	frekk	1
feste	neste	1
vanns	Bugge-Hans	1
manne-fall	skrall	1
blåtøyssøm	gledesstrøm	1
gro	ro	1
munn	ørkenbunn	1
igang	opprørstrang	1
vill	bølgespill	1
oase	rase	1
hører	rører	1
