word_a	word_b	rhyme
strekk	sekk	1
brått	drott	1
natt	ratt	1
menneskehjem	gjem	1
lampeskinn	vestenvind	1
smerte-stønn	historiedønn	1
snar	far	1
vindusglass	gass	1
sant	diamant	1
profitt	sitt	1
kropp	granetopp	1
håret	låret	1
slå	vrå	1
underklang	klang	1
kongress	tilkness	1
folkestevnet	hevnet	1
dyp	kjempepolyp	1
rinner	minner	1
tom	rom	1
skinn	svin	1
her	der	1
hinder	gudinner	1
romsdalsk	falsk	1
leskedrikk	butikk	1
riste	visste	1
til	fløytespill	1
milelang	gullplateklang	1
violin	nordenvind	1
trakt	makt	1
skare	forklare	1
blende	ende	1
panne	barnesanne	1
gullplateklang	lang	1
inn	drømmespinn	1
fjerner	hjerner	1
rinner	binder	1
centnervekt	trelleslekt	1
sand	mann	1
dal	gal	1
solmorgenstund	tanke-grunn	1
iland	mann	1
stikk	politikk	1
fantasier	lier	1
ett	spredt	1
tryllerull	underfull	1
kammer	rammer	1
glatt	hat	1
splitter	flitter	1
fin	avgrundsskinn	1
brått	himmelblått	1
hedningeby	bly	1
kare	sokneskare	1
gløden	brøden	1
tre	se	1
lake	tilbake	1
rosenglør	rør	1
blade	vårkaskade	1
paragrafer	skaffer	1
Sanktehans	tornekrans	1
hetter	gjetter	1
flott	rikmannslott	1
kom	flom	1
blender	tenner	1
taget	jaget	1
krans	sans	1
har	åpenbar	1
månelyståken	våken	1
svinge	ringe	1
skrall	hal	1
satt	godnatt	1
døden	hungersnøden	1
Høye	døye	1
lede	berede	1
svinge	springe	1
bør	tørr	1
nøye	høye	1
tvang	seierssang	1
milelang	jubelklang	1
Hans	stråleglans	1
spott	huldreslått	1
sang	klang	1
ul	hul	1
dertil	pil	1
hund	blomstergrunn	1
klage	sage	1
himmelranden	annen	1
folkevett	slett	1
tager	avskjedsklager	1
fornuft	luft	1
fly	sky	1
kragen	klagen	1
fabrikk	trikk	1
fiske-leie	jøkel-brann	1
været	besværet	1
fin	sølvsardin	1
strømmen	tømmen	1
individer	sider	1
kopp	granetopp	1
