word_a	word_b	rhyme
nogen	ly	0
fantasier	melodier	1
fullkommenhet	atlet	1
heder	der	1
sydvesten	dum	0
himmeldrømmen	hel	0
hugger	vugger	1
skrekk	nøye	0
ga	vandring	0
tigerstaden	skulderblar	0
duft	trommen	0
hvile	inn	0
salt	fugleværet	0
på	bordet	0
kjente	duft	0
forandrer	nord	0
strander	frukter	0
strand	sloet	0
vei	dommer	0
tro	sterke	0
pergamenter	argumenter	1
feier	det	0
grenser	folk	0
glede	derinn	0
snor	ord	1
tenne	kjenne	1
nord	for	1
rop	norm	0
tigger	rammer	0
sted	trell	0
stirret	bort	0
bjelkestuen	blikk	0
kaster	gyser	0
rad	satt	0
sommerkveld	selv	1
sparer	ånd	0
dom	tvende	0
streng	kjenner	0
trone	glans	0
ler	form	0
båt	land	0
spott	slått	1
forbannet	ætt	0
løfter	Hermonjetten	0
aftenglød	kun	0
svær	klør	0
like	fariseer	0
flik	ned	0
seildugssekken	med	0
svenner	side	0
tømte	dukket	0
Knut	speil	0
møye	høst	0
legge	seg	0
dyp	ende	0
sammen	Amen	1
sinn	hus	0
tross	vil	0
lem	..	1
nær	bevet	0
slott	yacht	1
hat	huler	0
leir	Baal	0
ære	tross	0
hjem	krone	0
alders-smykke	lykke	0
sympati	deri	1
mål	slipper	0
il	makter	0
frekk	knoppen	0
dem	gro	0
drakt	blir	0
mer	sne	0
Kariskjæret	meg	0
ro	nomader	0
befester	sterk	0
bruk	brød	0
best	blest	1
vår	lek	0
forvaret	klaret	1
smertens-tid	lo	0
kinden	sang	0
lukt	lønn	0
snorer	anger	0
flat	duk	0
forgå	når	1
godt	fått	1
kjenne	gry	0
fjell	av	0
vidde	jorden	0
dynge	betrengte	0
taler	krus	0
foss	blanke	0
inn	så	0
løvehale	savn	0
mann	bestemt	0
tømte	ned	0
veie	venn	0
hit	fly	0
lik	prise	0
prøve	røve	1
være	kaste	0
blankt	kropp	0
stimulanser	skanser	1
forsvinner	bryst	0
...	klinge	0
gjelder	helte	0
ild	mild	1
først	sagt	0
fører	tro	0
land	næring	0
ånder	ser	0
væte	hete	1
vek	skrek	1
fiskeørn	børn	1
akt	tvinger	0
grenser	dør	0
brente	skikke	0
skogpaulun	trilleslag	0
strevet	sorgen	0
komme	kvinne	0
meg	berede	0
lenger	huler	0
bord	brakt	0
derinn	venner	0
skinn	menneskestemmer	0
Regine	agn	0
drukket	slokket	1
tvinge	vrede	0
se	navn	0
vanker	må	0
morgen	vind	0
forsilde	ravn	0
spiller	sund	0
kontrakt	natur	0
sønn	veie	0
vender	hu	0
natt	går	0
tale	kor	0
lokker	klokker	1
harpen	ring	0
opp	hell	0
øre	vold	0
ære	verk	0
strålebad	silde	0
hånd	ånd	1
forhaling	ham	0
lystet	brystet	1
iland	stien	0
ratt	Co.	0
står	staven	0
øye	eie	0
brus	vandret	0
kvad	sagastol	0
spill	hender	0
kunst	ror	0
ber	beste	0
forskrekker	rekker	1
vugget	stormet	0
leve	bar	0
skinn	prise	0
gå	svaret	0
kost	vår	0
støy	gård	0
vinning	tinning	1
Eginafjord	nord	1
mann	forglemt	0
munn	narrespill	0
blikk	forgikk	1
befrier	bier	1
skåler	randen	0
blåst	frost	1
drakt	forårsfest	0
id	nattetid	1
folket	tolket	1
sønner	ordensbånd	0
rykter	hjem	0
tilbage	år	0
fred	leire	0
plett	grunn	0
klar	fotefar	1
imorges	våres	1
hendt	kanhende	0
gru	lindret	0
narrespill	lamme	0
stille	været	0
runger	favner	0
speil	forvirrer	0
tvinge	brenner	0
lykke	kulde	0
sten	skjendte	0
bitter	flitter	1
ro	kløvet	0
lett	nett	1
lengsel	laurbærblader	0
Antiokia	fra	1
fort	lå	0
flu	ru	1
sunn	bedre	0
bragte	egne	0
grøde	beiler	0
miner	hviner	1
fetter	skvetter	1
forbarme	til	0
gården	røs	0
slår	lyd	0
strider	se	0
slår	forandring	0
hus	sett	0
sorg	gull	0
ned	kjærlighet	1
kirke-vei	frem	0
gatesprekk	vekk	1
ramp	ler	0
