word_a	word_b	rhyme
guddomsstemme	skremme	1
palmesving	engleving	1
vare	fare	1
sjal	gal	1
nord	tror	1
forkynt	mynt	1
jekt	trelleslekt	1
skjød	bårer	1
bergkrystall	manne-fall	1
god	stod	1
sprenger	penger	1
glatt	stat	1
døye	drøye	1
rein	hegn	1
finner	rinner	1
stat	smatt	1
derinn	marsaftenvind	1
grille	lille	1
hemmer	demmer	1
barneskare	forklare	1
året	dåret	1
bolig	fortrolig	1
glans	sankthans	1
snekker	rekker	1
friste	Kviste	1
trenge	sprenge	1
stenger	lenger	1
barnesanne	vande	1
øye	himmelhøye	1
strenge	lenge	1
mat	prat	1
skuten	foruten	1
solskinnsvind	vestenvind	1
glass	blomsterflass	1
nordenvind	kinn	1
renter	venter	1
fester	rester	1
's	santkehans	1
aftenvind	avgrundsskinn	1
søndenvind	sølvsardin	1
lind	kanin	1
englebud	likferdsskrud	1
stund	klippegrunn	1
makten	takten	1
godnatt	besatt	1
ditinn	sinn	1
dammer	seildugshammer	1
sønderslite	vite	1
rett	beredt	1
hardt	bart	1
underklang	blomstervang	1
sprang	strengeklang	1
brønn	historiedønn	1
finger	ringer	1
blomsterkrans	stråleglans	1
brudeslør	glør	1
hvil	strengespill	1
bryllupsfeller	hjeller	1
skuen	luen	1
kare	åpenbare	1
hermelin	min	1
alfesang	klang	1
mor	stor	1
blikke	skikke	1
inn	solskinnsvind	1
vinter-natt	hatt	1
hast	kast	1
sommernatt	att	1
glans	Bugge-Hans	1
sunn	Staupersund	1
krutt	slutt	1
ø	frø	1
april	fargespill	1
støy	ridetøy-	1
brudekrans	Sanktehans	1
fliker	rike	1
høvdingånd	fiskerånd	1
verdensstat	att	1
totenslæger	teger	1
hjernespinn	finn	1
mareritt	vidt	1
Belt	elt	1
kirkestevne	stevne	1
skygge	betrygge	1
skafott	fått	1
kil	offerild	1
liste	briste	1
kildevann	mann	1
tsar	var	1
karakter	sner	1
steamer	kimer	1
saddauseere	fariseere	1
lyser	gyser	1
bly	sky	1
høvdingånd	skulderband	1
rang	sang	1
sabel	kabel	1
granetopp	furutopp	1
midt	Moabit	1
buser	huser	1
hans	glans	1
renkespill	harpespill	1
vove	love	1
bekranser	danser	1
