word_a	word_b	rhyme
stillehavspassat	satt	1
stjerneblått	blott	1
med	ned	1
manne-fall	tempelhall	1
store	roret	1
fare	mare	1
vin	sin	1
ring	Ting	1
tynt	skillemynt	1
skinn	grind	1
kvede	brede	1
vinge	springe	1
liljebånd	ånd	1
godt	gått	1
trykker	nykker	1
tåkeluft	duft	1
herskerstol	Hol	1
morgen-røden	grøden	1
vold	avindsskjold	1
kingelvevet	bevet	1
teller	kvelder	1
aftenrøden	hungersnøden	1
borg	kongeborg	1
traff	blaff	1
året	dåret	1
solgangsild	till	1
drømmen	himmeldrømmen	1
sende	overende	1
ditinn	marsaftenvind	1
dravat	soldat	1
politikk	fabrikk	1
sunn	stund	1
flyr	knyr	1
vestenvind	marsaftenvind	1
flammer	prammer	1
lytter	hytter	1
hedningeby	ly	1
kinner	pinner	1
profitt	mareritt	1
randen	stranden	1
bevare	broderskare	1
hjernespinn	sinn	1
hvin	eventyr-sinn	1
møye	møye.	1
vil	fargespill	1
lammer	kammer	1
kvikke	strikke	1
alfesang	milelang	1
sundt	glunt	1
inne	blinde	1
Hans	stråleglans	1
Staupersund	barne-munn	1
fortøye	bøyet	1
seildugshammer	hammer	1
lokomotiv	pakkbodliv	1
frekk	skrekk	1
ordet	spore	1
flat	mat	1
klippegrunn	tanke-grunn	1
Evighøye	bøye	1
bacchanal	kanal	1
skader	rader	1
gategutt	slutt	1
fødeegn	rein	1
rygge	hygge	1
apespill	sommermild	1
myr	skyr	1
stillehavspassat	stat	1
svinge	ringe	1
baste	faste	1
prenter	renter	1
menneskehjem	strålebrem	1
ler	ber	1
løs	røs	1
henne	ende	1
prester	fester	1
vrimlen	storbyvrimlen	1
admiral-fregatt	fregatt	1
finn	trinn	1
stjernegry	tordensky	1
vind	pålandsvind	1
ratt	fatt	1
tilkjenne	tenne	1
sner	skjer	1
stakler	mirakler	1
fnokk	dvergeflokk	1
stille	milde	1
skritt	sitt	1
seilet	feile	1
søndenvind	syrin	1
fang	blomstervang	1
fullende	derhenne	1
vare	svare	1
blomstergrener	grener	1
rang	alfesang	1
hinder	vinner	1
lukt	bukt	1
danser	panser	1
arm	barm	1
din	kinn	1
dette	slette	1
vek	lek	1
glør	dør	1
klokkeklang	gang	1
slang	jubelsang	1
løyhet	høyhet	1
Bliv	bliv	1
silde	bryllupsgilde	1
kold	hedenold	1
merkestang	trang	1
kongehaller	raller	1
minister	frihetsrigorister	1
tiltross	tross	1
ofte	hofte	1
drømte	fordømte	1
gjemme	stemme	1
strandblomststjerner	lanterner	1
bestemt	klokkeklemt	1
fargesans	glans	1
jager	oldingplager	1
gåte	våte	1
alfesang	strengeklang	1
trær	der	1
finnes	bindes	1
lenket	benket	1
embedsskrud	seiersbud	1
fuglekiv	kniv	1
båret	låret	1
kall	manne-fall	1
ørkenild	fil	1
dal	pastoral	1
menneskedyr	dyr	1
istykker	trykker	1
bringer	tvinger	1
knyr	menneskedyr	1
varmen-	barmen	1
profeten	tidstrompeten	1
spy	ny	1
fliker	slike	1
meldt	telt	1
slang	kjøkkengang	1
midt	mitt	1
høvdingånd	ånd	1
bølgekammer	kammer	1
våbengny	vikingery	1
offerdyr	dyr	1
redningsverk	verk	1
argumenter	pergamenter	1
tvende	blende	1
Storedragen	dragen	1
kilder	skiller	1
bark	hark	1
matt	kratt	1
dregg	klegg	1
rase	grimase	1
øye	øyet	1
gudeslott	skafott	1
drønn	brønn	1
drevet	sønderrevet	1
dertil	morraspill	1
strandblomststjerner	tærner	1
måneskinn	skinn	1
pral	pastoral	1
verdensstat	godnatt	1
sølvsardin	kinn	1
tål	stål	1
himlen	storbyvrimlen	1
stille	ville	1
springer	finger	1
vill	spill	1
derinn	sølvsardin	1
klinger	finger	1
egnet	beregnet	1
gal	smal	1
folkelarm	larm	1
falt	talt	1
renkespill	til	1
drømmespinn	mandolin	1
hopp	granetopp	1
skrupler	kupler	1
fortøye	pløye	1
smil	ørkenild	1
folkeskarer	åpenbarer	1
slåss	tross	1
minutt	krutt	1
bier	stier	1
spott	fått	1
stropp	dvergfurutopp	1
forjaget	slaget	1
honning	dronning	1
kness	ness	1
ivare	broderskare	1
sprekk	strekk	1
alfesang	hang	1
dreng	heng	1
mystikk	leskedrikk	1
sal	signal	1
Sanktehans	Hans	1
øyet	døye	1
pryd	fryd	1
stutt	fut	1
Bull	kummerfull	1
tjelde	nelde	1
kue	stue	1
klem	ungdoms-hjem	1
fortjener	grener	1
levne	evne	1
faner	ahner	1
hosebånd	fonn	1
strengespill	sild	1
at	blomsterskatt	1
fjerner	kaserner	1
birke	virke	1
prikk	stikk	1
pike	minnerike	1
øm	blåtøyssøm	1
folkeskarer	erfarer	1
ruiner	latiner	1
rune	lune	1
apespill	pistil	1
stanse	bekranse	1
klage	behage	1
ritual	slottsportal	1
skjende	derhenne	1
aftenvind	arbeidervin	1
mil	spill	1
by	vikingery	1
odelsgrunn	pund	1
milevidt	titt	1
eier	feier	1
våken	tåken	1
salmen	halmen	1
verdensbetvinger	omringer	1
sund	fund	1
måneskinn	ørnesinn	1
vekt	centnervekt	1
granitt	fritt	1
seierssang	Rolland	1
strender	tenner	1
fingerhatt	skratt	1
fossefallet	skalle	1
buser	huser	1
fortoner	millioner	1
freset	fjeset	1
mager	avskjedsklager	1
godt	yacht	1
stillhet	villhet	1
fyller	skyller	1
engang	sirenesang	1
fjorder	borer	1
inne	vinne	1
jernbetong	fasong	1
flyr	bestyr	1
sommermild	klokkespill	1
seierssang	tang	1
skvetter	metter	1
kontur	klippemur	1
sus	ørnebrus	1
bacchanal	portal	1
fødeegn	hegn	1
kvarter	ber	1
klippestrimmel	vrimmel	1
Natt	godnatt	1
hvem	klem	1
pol	symbol	1
skapen	tapen	1
øde	døde	1
blomsterklynger	gynger	1
fang	bølgegang	1
betrygge	brygge	1
palmesving	spring	1
vang	bølgegang	1
navn	kongenavn	1
herskerstol	pol	1
Rolland	fang	1
sivet	verdenslivet	1
til	till	1
flammespill	fil	1
ryker	stryker	1
regnbueøy	fløy	1
sprenger	trenger	1
tømte	drømte	1
tromme	tomme	1
mann	land	1
ditinn	trinn	1
standart	hardt	1
's	solskinnsglans	1
nelde	elde	1
kry	tordensky	1
netter	besetter	1
Hans	santkehans	1
fem	strålebrem	1
flukt	lukt	1
lut	krutt	1
innesperre	herre	1
vold	fold	1
svang	rang	1
aner	maner	1
fly	morgengry	1
vindusglass	plass	1
fin	arbeidervin	1
avgrundsskinn	eventyr-sinn	1
kveger	totenslæger	1
idyll	jule-idyll	1
vill	mil	1
spør	sør	1
skarlagen	dragen	1
hviner	miner	1
jubelklang	sang	1
blund	hun	1
vang	folkerang	1
fangehull	muld	1
fryd	jubellyd	1
jeger	neger	1
jubelklang	blomstervang	1
blått	drømmeslott	1
tur	natur	1
sukke	opplukke	1
offerild	flammespill	1
underfull	full	1
skatt	verdensstat	1
mener	stener	1
Rolland	stang	1
natt	skatt	1
hjernespinn	finn	1
bunn	hjertegrunn	1
kanin	inn	1
il	april	1
vekk	strekk	1
kun	puddelhund	1
Henderson	hosebånd	1
gate	flate	1
lindrer	indre	1
ledebånd	helligånd	1
rigger	ligger	1
tyde	lyde	1
tegn	grein	1
hetter	fletter	1
hodet	sloet	1
hat	smatt	1
taket	flaket	1
tilkness	press	1
fugler	smuler	1
hvem	hjem	1
Franken	tanken	1
betatt	smatt	1
skatt	fatt	1
bølgesprut	fut	1
munning	runding	1
bodde	grodde	1
milevidt	kreditt	1
stjernegry	gny	1
kongeskrud	gud	1
fornøyet	nøye	1
mager	bedrager	1
måneskinn	sin	1
spant	tant	1
hjerner	kjerner	1
sekund	barne-munn	1
liten	viten	1
spare	forklare	1
stjerner	strandblomststjerner	1
tvende	derhenne	1
mager	jager	1
fuglekiv	bliv	1
hardt	snart	1
store	orde	1
stjernenetter	letter	1
mener	forener	1
driv	viv	1
karakter	ber	1
englevinger	finger	1
Hergisheim	eim	1
rive	give	1
fletter	letter	1
slavemoral	Baal	1
sjele	deler	1
grått	slått	1
aftenrøden	morgenrøden	1
opp	askeladd-tropp	1
lind	sølvsardin	1
sviller	griller	1
morgenstund	hjertegrunn	1
prat	fatt	1
tispen	gispen	1
gutt	brutt	1
forskutt	tilslutt	1
bestyr	fyr	1
jammer	flammer	1
offerild	fargespill	1
rett	sett	1
hvil	fil	1
Natt	fat	1
krus	lus	1
tonetrang	underklang	1
minner	kvinner	1
tretter	metter	1
sanden	oppstanden	1
anemoner	kroner	1
mitt	slitt	1
lamper	damper	1
stinn	solskinnsvind	1
betrådt	fyrsteslott	1
tiggerskare	smertensmare	1
myr	flyr	1
bandt	rant	1
helligånd	evighetsbånd	1
stekket	paddekvekket	1
binder	minner	1
glitret	sitret	1
trynet	brynet	1
smil	ild	1
frister	brister	1
slott	huldreslått	1
Ølversønn	Menneskesønn	1
ødt	søtt	1
muld	smilehull	1
kapiteler	blomstersjeler	1
krystall	bølgefall	1
gjorde	evighetsordet	1
offerlund	englemunn	1
amuletter	setter	1
Hans	stans	1
moder	broder	1
snekker	trekker	1
sving	ting	1
ratt	soldat	1
fuglekiv	stiv	1
kjempepolyp	kryp	1
rull	månegull	1
meier	veier	1
pund	blomstergrunn	1
kratt	bratt	1
sin	grind	1
klemt	slemt	1
gøyeblikk	drikk	1
kniv	stiv	1
søndenvind	sølvsardin	1
ørkenild	klokkespill	1
stut	Knut	1
smatt	godnatt	1
skinner	vinner	1
smått	forstått	1
knopp	furutopp	1
nemme	stemme	1
plater	attentater	1
gry	vintersky	1
revet	bevet	1
bier	lier	1
mester	fester	1
tanke-grunn	elvebunn	1
klokkeklang	tang	1
helvedånd	helligånd	1
renkespill	sild	1
lage	forårsdage	1
seierssang	trang	1
trøndersk-hedemarkisk	uinnskrenkt-monarkisk	1
kreves	leves	1
ro	lo	1
tatt	smatt	1
kiv	pakkbodliv	1
