word_a	word_b	rhyme
stall	skrall	1
ving	ting	1
orden	horden	1
taler	svaler	1
juleskikk	blikk	1
gys	lys	1
dreng	eng	1
intriger	fyrstetiger	1
rødme	sødme	1
svider	vrider	1
lett	trett	1
næring	fortæring	1
bløde	gjøde	1
neier	veier	1
forstod	gro	1
forener	stener	1
plartå	lå	1
hånd	klædebon	1
sett	klokkeslett	1
endt	hendt	1
fossen	åssen	1
pistil	ild	1
bryderi	industri	1
fall	hal	1
mark	hark	1
hverandre	vandre	1
sten	len	1
moder	broder	1
tømte	rømte	1
fortapelse	skapelse	1
måler	stråler	1
gammel	skrammel	1
hele	stjele	1
varetekt	slekt	1
bølger	dølger	1
mynder	begynner	1
tanke-grunn	munn	1
lend	igjen	1
tale	idealet	1
forfører	gjører	1
fortetter	metter	1
proklamerer	manerer	1
spiller	triller	1
ånd	bånd	1
beskytte	prakt	1
seiersgildet	spillet	1
nesen	vesen	1
fløy	drøy	1
glass	blomsterflass	1
føre	snøre	1
brudekrans	Sanktehans	1
tømme	drømme	1
svett	gett	1
forspilt	stilt	1
fast	kvast	1
indre	lindre	1
bryn	lyn	1
frender	brenner	1
troner	toner	1
sand	vann	1
silde	stille	1
alt	salt	1
disipliner	miner	1
gang	betvang	1
Danebrog	sprog	1
klamme	lamme	1
rinne	derinne	1
Akropolis	lansespiss	1
adelsblod	ro	1
graver	haver	1
hall	bergkrystall	1
brave	have	1
grøde	gjøde	1
tro	to	1
mø	dø	1
brenne	tilende	1
stans	santkehans	1
flakker	snakker	1
bu	flu	1
seg	deg	1
hjertelag	behag	1
dekt	vekt	1
være	sfære	1
vidje	midje	1
lagt	makt	1
mål	tål	1
ende	kjenne	1
ære	være	1
bakkehell	strålevell	1
der	aftenskjær	1
evighet	vet	1
natt	ratt	1
plass	palass	1
vek	lek	1
skatet	matet	1
demme	temme	1
mat	verdensstat	1
har	var	1
frem	Jerusalem	1
føyer	pløyer	1
broderkjede	glede	1
sjele	dele	1
rammer	seildugshammer	1
bart	klart	1
tredve	bredved	1
gru	hu	1
stand	mann	1
sner	ler	1
skyller	hyller	1
nøden	døden	1
traff	blaff	1
år	spår	1
bruse	suse	1
vann	mann	1
støvet	løvet	1
fyr	flyr	1
viet	tiet	1
går	vår	1
ål	sommermål	1
beven	sveven	1
flamme	samme	1
forstå	på	1
vakt	belagt	1
stød	bød	1
nu	gru	1
kjær	her	1
gledeskilder	stjernebilder	1
glede	tilstede	1
skatt	fatt	1
rik	vik	1
bli	fri	1
blånen	himmelblånen	1
murstensgård	vår	1
ene	tjene	1
plagg	flagg	1
skritt	titt	1
havet	kave	1
egn	regn	1
selvannen	stranden	1
stram	dram	1
derpå	blå	1
skikk	politikk	1
vike	kongerike	1
sild	vill	1
kom	flom	1
drakt	vakt	1
minne	derinne	1
lag	kirketag	1
kulde	gullet	1
treder	leder	1
deri	fri	1
hende	kjenne	1
trygg	bølgerygg	1
øm	strøm	1
prikk	blikk	1
hans	dans	1
dette	slette	1
øyekast	kvast	1
stå	vrå	1
brenner	kjenner	1
nesten	vesten	1
slåss	stenkoloss	1
rabber	krabber	1
streder	spreder	1
penn	derhen	1
rett	regnebrett	1
måneland	halvmånestrand	1
morgenskove	sove	1
tempelhall	skal	1
ratt	hatt	1
fjelle	melde	1
sankthans	dans	1
like	kongerike	1
krav	støttestav	1
pris	vis	1
mann	kan	1
verge	besverge	1
skuten	ruten	1
kilde	bildet	1
lån	hån	1
miste	visste	1
slenger	lenger	1
byer	avenyer	1
rang	gang	1
skodde	odde	1
vin	syrin	1
stå	gå	1
nordvest	blest	1
halen	dvalen	1
blomst	bekomst	1
betynget	klynget	1
fryd	rullestenslyd	1
frender	lender	1
ruter	luter	1
glitret	sitret	1
til	smertens-tid	1
vind	drømmespinn	1
bryte	lyte	1
napp	glapp	1
ordre	befordre	1
skatter	katter	1
drømmeriker	viker	1
bære	kjære	1
sand	ørkenland	1
svermer	beskjermer	1
kuleregn	halvmånetegn	1
ætten	sletten	1
tak	trilleslag	1
ryster	kyster	1
syndebrev	bedrev	1
bygge	skygge	1
pust	just	1
trafikk	musikk	1
kverner	strandblomststjerner	1
grunne	lunde	1
resten	arresten	1
leven	neven	1
talte	malte	1
Jovisst	sist	1
zinken	drinken	1
skor	for	1
ritt	titt	1
honnør	før	1
grus	forrådshus	1
hansker	dansker	1
stjerne	gjerne	1
granitt	Krit	1
profitt	slitt	1
oppstanden	himmelranden	1
besvær	især	1
klør	direktør	1
huset	avgrunnsbruset	1
frost	blåst	1
gror	alterbord	1
damp	kamp	1
vink	brink	1
blikke	drikke	1
storm	norm	1
neger	jeger	1
slang	lang	1
elde	velde	1
vekt	slekt	1
forpakter	kontrakter	1
stener	grener	1
søndenvind	inn	1
Enhver	nær	1
berømte	dømte	1
hånd	hosebånd	1
lover	sover	1
ærer	bærer	1
hodeskalle	falle	1
spor	kongestor	1
være	svære	1
brøt	skjøt	1
sand	land	1
ild	vill	1
Shanghai	hai	1
grøfter	løfter	1
gavn	favn	1
ringt	instinkt	1
tynger	forynger	1
rår	sår	1
borte	skjorte	1
brenne	tenne	1
munne	sunne	1
lyser	fryser	1
regjerer	formerer	1
vei	jordbærhei	1
hav	gråstensgrav	1
strå	små	1
i	stri	1
utkåren	båren	1
gudegave	grave	1
sol	kongestol	1
tempel	eksempel	1
flakse	dagligdagse	1
natten	knatten	1
sort	gjort	1
bøye	øyet	1
landet	forbrent	1
forsvinner	spinner	1
klær	her	1
helligdom	flom	1
nett	husbondsvett	1
dager	jager	1
si	vi	1
mor	stor	1
kvide	tilside	1
kjemperad	bad	1
fetter	netter	1
trede	glede	1
veggen	eggen	1
strømme	drømme	1
hat	mat	1
blod	ro	1
prøves	øves	1
ror	fjord	1
kamerat	hat	1
hall	stall	1
vindruemarker	akasieparker	1
rett	trett	1
mave	slave	1
dom	tom	1
angst	fangst	1
lever	strever	1
brak	kvak	1
kjærlighet	ned	1
steiler	snegler	1
nese	lese	1
vanne	panne	1
ørn	tjørn	1
bønnen	sønnen	1
sjelegrunnen	bunnen	1
Norden	fjorden	1
mæle	knele	1
svever	bever	1
tvende	ende	1
ridder	vidder	1
når	går	1
frelserverk	sterk	1
glød	blomsterskjød	1
kjært	nært	1
øst	pøst	1
hvem	hjem	1
aner	planer	1
oss	sol-stråle-foss	1
nordlys-strøm	drøm	1
nå	grå	1
eventyr	flyr	1
formår	går	1
år	hård	1
svever	hever	1
nord	tror	1
nesten	hesten	1
odden	skodden	1
trette	sette	1
by	morgengry	1
full	gull	1
visjoner	spioner	1
hende	ende	1
bør	før	1
fram	ham	1
dage	drage	1
godt	slott	1
dreng	heng	1
glemmer	lemmer	1
er	trær	1
visst	tilsist	1
munn	kun	1
bølger	forfølger	1
frank	bank	1
rar	kar	1
guddomsstemme	glemme	1
kvide	stride	1
gjør	Hør	1
merk	verk	1
gror	stor	1
hindre	lindre	1
toneveld	kveld	1
brynet	synet	1
ute	rute	1
mesterverker	minnesmerker	1
melodier	bier	1
vis	furuflis	1
kanhende	tilende	1
hvile	smile	1
potteskår	vår	1
Komintern	jern	1
ren	pen	1
sirkuspisk	frisk	1
skarv	tarv	1
filisterkaste	laste	1
strekker	rekker	1
