rhyme scheme	stanza	filename	stanza number (in file)
AABCCBI	"Gud, la oss i din kunnskap fremmes,
så det vi lærer, aldri glemmes,
men vokser med oss dag for dag,
at det kan modnes som du sådde,
og vi hos deg må finne nåde,
og du i oss ditt velbehag.
(L. 671.)"	2009013000065_1_annotated.txt	0
TAABCCB	"ANNEN SANG
Fra Landego seiles mot Skrova i nord
ut på den veltende, halvåpne fjord,
mens dampen om stemplene stimer.
Der knuses om stavnen den skumhvite krans
mens bølgen og skroget har tatt seg en dans
i fire, fem kvalfulle timer!"	2007011001018_11_annotated.txt	0
AABCCB	"Og er det en høstkveld når mørket står på
så ser du først Skrova med blink i det blå,
så Geita som sortner i kavet.
Men høit over lysglimt som vinker til bys
står kirken med tårnet så hvitt som et lys,
som en sølvstake løftet mot havet !"	2007011001018_11_annotated.txt	1
AABCCB	"Snart ligger og kaien der dyngvåt av regn,
og samler på lyktenes gullskrift og tegn
som flimrer i oljeblå dammer.
Og Svolvær det ligger, som alltid det lå,
som et bilde i ura som ruller seg grå
mellom storfjellets nattsorte rammer."	2007011001018_11_annotated.txt	2
AABCCB	"Og rett bort i øst ligger Svinøya gård
hvor Berger huserte i hundrede år
mens Kårbø på kaien regjerer.
Snart skifter vel tiden, så mange vil frem,
langs gatene vrimler de velstelte hjem
hvor slekter og hus seg formerer."	2007011001018_11_annotated.txt	3
AABCCB	"Her fylles nok byen hver landliggedag
når fiskerne møtes i tusner av lag
og gluntan i gatene yrer.
Mens vinsjene bjeffer og losser fra bord
i tanken jeg ser dem i år som ifjor
i krongule oljekleshyrer."	2007011001018_11_annotated.txt	4
AABCCB	"Her ruller avisen sitt evighetsbånd
og legger i bladet sin svertede hånd,
der kan du i linjene lese.
Her folder du ut for ditt øie vår jord
fortettet i satser av springende ord
og holder dem tett for din nese!"	2007011001018_11_annotated.txt	5
AABCCB	"Her møter du tiden og ser hva er hendt,
du reiser til Miinchen før bladet er vendt,
til New York, Medina og China.
Du ser hvem som taler, hvem vies, hvem dør,
der kunngjøres poster og falbyes kjør,
her finner du prisen på lina."	2007011001018_11_annotated.txt	6
AABCCB	"Men underne øker, hør ordene slår
sin vinge i ætern og til oss de når,
og roper i kasser og trakter.
De fanges på snorer og piner seg frem,
der tales og spilles i stue og hjem
som av nære og hemlige makter !"	2007011001018_11_annotated.txt	7
AABCCB	"Men helst vil jeg høre når fiske tar fatt,
hva værlag her dannes i mørke og natt,
og om kuling og storm er i vente.
Velsignede stemme — du sparte mang mann,
du varslet og vernet den fiskende stand
og gledet mang kone og jente!"	2007011001018_11_annotated.txt	8
TABCCA	"MOT KVELD
På Roms herskerstol
troner den unge Nero,
dyret i menneskedrakt,
slaven med herskerens makt,
all skjensels symbol."	2011041408091_31_annotated.txt	0
ABACDC	"Sitt rikes rebell,
sin moders morder,
smigrerens kronede trell, 
fastens drabant,
bøddel og keiser
i narrekappe og gjøglergevandt."	2011041408091_31_annotated.txt	1
AABCDEFD	"Tusenfold ve over hver
som volder besvær, 
som rører en finger,
som åpner sin munn
for å klandre hans ferd.
Den finger skal lammes,
den munn skal lukkes
med brann og med sverd."	2011041408091_31_annotated.txt	2
ABA	"Tyrannen er Gud!
Hvem nekter ham hyldest?
Hvem trosser hans bud?"	2011041408091_31_annotated.txt	3
ABCB	"I larmende opptog,
halvgal av vinens brann,
gjennom gatenes mylder
han styrer sitt fnysende spann."	2011041408091_31_annotated.txt	4
ABA	"Jupiter selv!
Sku hans bekransede panne,
o jord, og skjelv!"	2011041408091_31_annotated.txt	5
ABCDEC	"Skarene danser som ville
omkring ham
til paukenes klang. 
Med glødende sanser de fyller
med liljer og roser
hans vogn og hans fang."	2011041408091_31_annotated.txt	6
ABCDEFD	"Men se!
Der er kvinner
som bøyer sitt hode
og sørger.
Der er menn
som stanser og tier
og spørger."	2011041408091_31_annotated.txt	7
